rank,name,number_students,student_staff_ratio,intl_students,female_male_ratio,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,address,street_address,locality_address,region_address,postcode_address,country_address
351,Hokkaido University,17659,8.2,10,29,51.0,51.2,44.0,47.4,95.1,47.5,"Kita 8 Nishi 5, Kita-ku, Sapporo, Hokkaido, 060-0808, Japan",,,,,
351,Hunan University,41481,17.8,2,47,51.0,28.9,30.4,92.0,75.2,32.5,"2 Lushan South Road, Yuelu, Changsha, Hunan, China",,,,,
351,Illinois Institute of Technology,6107,12.2,36,37,51.0,42.6,26.9,67.8,91.5,73.2,"10 West 35th Street, Chicago, Illinois, 60616, United States",,,,,
351,Iowa State University,28591,17.1,8,46,51.0,39.5,34.5,69.3,84.8,46.0,"2433 Union Drive, 100 Enrollment Services Center, Ames, Iowa, 50011-2011, United States",,,,,
351,James Cook University,9759,17.3,9,66,51.0,28.3,30.9,79.6,58.9,77.7,,,,,,
351,Justus Liebig University Giessen,27184,42.4,11,64,51.0,34.4,38.0,72.5,70.5,62.7,"Ludwigstraße 23, 35390 Giessen, Germany",,,,,
351,University of Kansas,23410,9.5,7,53,51.0,42.7,25.9,73.1,79.9,58.6,"1450 Jayhawk Blvd., Lawrence, Kansas, 66045, United States",,,,,
351,Koç University,6427,19.5,9,49,51.0,31.8,40.5,68.9,91.9,57.4,"Rumelifeneri Yolu, Sariyer, Istanbul, 34450, Turkey",,,,,
351,Leibniz University Hannover,19807,39.5,15,44,51.0,38.3,41.5,62.1,81.6,58.2,"Welfengarten 1, Hannover, Lower Saxony, D-30167, Germany",,,,,
351,University of Manitoba,30316,30.0,21,54,51.0,31.8,34.7,76.3,62.3,59.1,,,,,,
351,Middle East Technical University,16182,21.2,12,49,51.0,44.2,43.1,53.6,81.9,56.0,"Universiteler Mahallesi, Dumlupinar Bulvari No:1, Cankaya, Ankara Province, 06800, Turkey",,,,,
351,University of Milan,50995,21.8,7,60,51.0,31.3,31.8,87.3,69.5,47.2,"Via Festa del Perdono 7, Milano, 20122, Italy",,,,,
351,University of Milan-Bicocca,29943,29.8,5,62,51.0,27.8,26.0,91.1,66.7,47.0,"Piazza dell'Ateneo Nuovo 1, Milan, Lombardy Region, 20126, Italy",,,,,
351,Murdoch University,14816,34.0,38,62,51.0,23.2,29.6,81.4,67.2,94.2,,,,,,
351,University of Naples Federico II,56127,19.5,2,56,51.0,36.7,28.3,86.9,72.0,35.4,"Corso Umberto I 40, Napoli, 80138, Italy",,,,,
351,,16400,10.0,33,42,51.0,43.4,31.3,67.4,61.6,65.2,,,,,,
351,Sabancı University,3847,20.5,11,38,51.0,31.7,37.9,69.5,90.2,66.6,"Orta Mahalle, Tuzla, Istanbul, 34956, Turkey",,,,,
351,University of St Gallen,8799,12.9,33,36,51.0,33.8,21.0,81.4,66.6,93.6,"Dufourstrasse 50, St.Gallen, Canton of St. Gallen, CH 9000, Switzerland",,,,,
351,University of Saskatchewan,17924,18.1,21,56,51.0,39.0,35.1,62.9,95.8,78.9,,,,,,
351,University of Sharjah,12848,18.9,51,67,51.0,20.7,25.7,93.8,29.0,98.8,"P.O.Box 27272, Sharjah, United Arab Emirates",,,,,
351,Shenzhen University,35736,14.0,1,49,51.0,27.8,34.3,85.3,57.9,42.4,"Nanhai Ave 3688, Shenzhen, Guangdong, 518060, China",,,,,
351,Southern Medical University,20555,10.7,6,,51.0,44.1,36.7,74.8,56.4,30.4,"No. 1023, Sha Tai Nan Road, Guangzhou City, Baiyun District, China",,,,,
351,University of Southern Queensland,11650,24.8,15,63,51.0,28.4,25.9,88.0,46.9,81.8,,,,,,
351,Technion Israel Institute of Technology,15934,22.7,13,40,51.0,37.5,34.0,66.9,68.1,71.8,"Technion City, Haifa, 32000, Israel",,,,,
351,Temple University,34069,12.3,6,56,51.0,40.7,24.3,85.2,70.4,43.6,"1801 N. Broad Street, Philadelphia, Pennsylvania, 19122, United States",,,,,
351,University of Texas at Dallas,24679,21.6,15,44,51.0,29.5,28.3,84.9,72.3,62.7,"800 West Campbell Road, Richardson, Texas, 75080-3021, United States",,,,,
351,University of Trento,14100,18.4,7,51,51.0,29.3,34.8,80.5,65.2,61.1,"Via Calepina, 14, Trento, 38122, Italy",,,,,
351,University of Tsukuba,15506,12.1,16,38,51.0,51.8,42.6,52.3,72.9,51.3,"1-1-1 Tennodai, Tsukuba, Ibaraki, 305-8577, Japan",,,,,
351,University of Victoria,21486,23.9,21,56,51.0,27.4,31.2,80.1,63.8,88.9,,,,,,
351,York University,44038,29.1,28,55,51.0,28.2,32.4,78.3,69.6,79.5,,,,,,
401,"Asia University, Taiwan",11431,29.5,4,63,49.0,18.3,36.6,80.6,63.2,49.2,"500, Lioufeng Road, Wufeng, Taichung, 41354, Taiwan",,,,,
401,Aston University,12950,19.0,25,48,49.0,22.2,26.5,82.5,64.1,95.2,"Aston Street, Birmingham, West Midlands, B4 7ET, United Kingdom",,,,,
401,Auckland University of Technology,18592,17.7,46,60,49.0,23.8,21.2,84.0,40.8,92.4,"Building WA - level 2, 55 Wellesley Street East, Auckland Central 1010, 1010, New Zealand",,,,,
401,Australian Catholic University,23843,38.4,14,76,49.0,16.8,25.7,97.0,21.9,80.7,,,,,,
401,Bangor University,8130,14.8,23,61,49.0,27.6,25.3,72.7,64.3,88.2,"Bangor, Bangor, Gwynedd, LL57 2DG, United Kingdom",,,,,
401,,16061,6.6,18,42,49.0,71.7,43.9,22.1,51.7,59.3,,,,,,
401,Bond University,3170,11.2,34,54,49.0,28.2,23.1,82.5,23.1,82.3,,,,,,
401,Bournemouth University,14260,19.1,21,53,49.0,23.2,21.1,86.7,38.4,89.0,"Fern Barrow, Poole, Bournemouth, BH12 5BB, United Kingdom",,,,,
401,University of Brescia,14615,24.2,6,47,49.0,24.4,19.2,89.3,62.4,44.9,"Piazza del Mercato, 15, Brescia, 25121, Italy",,,,,
401,Universiti Brunei Darussalam,3503,11.3,14,66,49.0,28.5,28.9,76.0,22.9,75.7,"Jalan Tungku Link, Gadong, Bandar Seri Begawan, BE1410, Brunei Darussalam",,,,,
401,"University of California, Merced",9170,19.6,9,51,49.0,26.2,23.9,86.8,48.1,55.0,"5200 North Lake Rd., Merced, California, 95343, United States",,,,,
401,Campus Bio-Medico University of Rome,2210,18.4,1,62,49.0,32.6,29.0,76.9,48.8,31.0,"Via Alvaro del Portillo 21, Rome, Italy",,,,,
401,University of Catania,26717,22.2,3,57,49.0,32.4,22.7,81.2,59.0,34.9,"Piazza Università, 2, Catania, 95131, Italy",,,,,
401,Centrale Nantes,1678,14.8,39,25,49.0,40.7,33.4,50.6,81.1,87.8,"1 rue de la Noë, Nantes, Pays de la Loire, 44321, France",,,,,
401,University of Central Florida,65269,39.1,4,57,49.0,28.5,34.4,74.7,78.3,39.9,"4000 Central Florida Blvd, Orlando, Florida, 32816, United States",,,,,
401,Charles Darwin University,7313,33.6,27,71,49.0,24.8,32.5,73.9,36.3,81.6,,,,,,
401,Charles University,51728,13.4,23,62,49.0,38.8,33.1,61.9,60.1,64.7,"Ovocny trh 5, Prague 1, Prague, 116 36, Czech Republic",,,,,
401,Chung-Ang University,18193,22.4,23,,49.0,37.4,38.4,52.0,98.3,62.6,"84 Heukseok-Ro, Dongjak-gu, Seoul, South Korea",,,,,
401,Claude Bernard University Lyon 1,27444,12.7,14,55,49.0,40.3,27.1,65.0,71.3,63.7,"43 Blvd du 11 Novembre 1918, 69622 Villeurbanne cedex, Lyon, France",,,,,
401,University of Coimbra,21767,18.4,15,57,49.0,31.4,38.2,59.9,78.0,54.3,"Paço das Escolas, Coimbra, 3004-531, Portugal",,,,,
401,"Colorado State University, Fort Collins",27786,16.2,5,56,49.0,33.4,31.7,74.4,69.4,46.6,"Fort Collins, Colorado, 80523, United States",,,,,
401,Constructor University,1534,22.1,83,42,49.0,36.7,35.9,48.9,84.7,93.5,"Campus Ring 1, Bremen, 28759, Germany",,,,,
401,Dalian University of Technology,37389,14.5,3,,49.0,37.0,35.0,68.1,86.8,40.2,"No.2 Linggong Road, Ganjingzi District, Dalian City, Liaoning, China",,,,,
401,University of Delaware,21545,16.1,11,57,49.0,32.7,31.8,72.5,80.9,62.3,"150 South College Avenue, Newark, Delaware, 19716-7200, United States",,,,,
401,Dublin City University,14325,26.1,12,58,49.0,24.5,35.2,77.1,62.8,73.9,,,,,,
401,École des Ponts ParisTech,1992,8.7,39,31,49.0,43.9,30.3,55.7,87.2,82.7,"6-8 avenue Blaise-Pascal Cite Descartes, Marne-la-Vallee, Champs-sur-Marne, Paris, 77455, France",,,,,
401,Florida International University,35006,22.4,9,60,49.0,31.0,29.3,74.2,61.5,51.0,"11200 S.W. 8th Street, Miami, Florida, 33199, United States",,,,,
401,University of Fribourg,6961,16.0,15,64,49.0,36.8,33.2,63.2,54.7,83.1,"Av. Europe 20, Fribourg, Canton of Fribourg, 1700, Switzerland",,,,,
401,University of Genoa,21470,16.5,7,58,49.0,36.1,28.3,78.0,73.4,47.3,"Via Balbi, 5, Genova, 16126, Italy",,,,,
401,George Mason University,32959,18.3,11,53,49.0,29.7,27.5,82.7,62.0,59.9,"4400 University Drive, Fairfax, Virginia, 22030, United States",,,,,
401,Georgia State University,30821,15.7,7,61,49.0,35.0,25.4,72.6,65.2,57.1,"1 Park Place, Suite 160, P.O. Box 3965, Atlanta, Georgia, 30303, United States",,,,,
401,"Goldsmiths, University of London",8780,14.5,38,66,49.0,29.2,25.2,75.4,28.9,81.0,"New Cross, London, Lewisham, SE14 6NW, United Kingdom",,,,,
401,University of Greifswald,10366,21.1,8,59,49.0,35.5,29.9,73.8,60.2,57.1,"Domstrasse 11, Greifswald, Mecklenburg Vorpommern, 17489, Germany",,,,,
401,University of Guelph,22936,27.3,10,59,49.0,32.6,36.2,66.2,78.1,64.5,,,,,,
401,Gwangju Institute of Science and Technology (GIST),1795,9.5,7,26,49.0,48.5,39.6,50.3,99.9,43.9,"123 Cheomdangwagi-ro, Buk-gu, Gwangju, 61005, South Korea",,,,,
401,,34656,18.6,12,,49.0,34.4,44.0,57.3,56.5,51.4,,,,,,
401,University of Hull,12305,18.0,21,56,49.0,27.4,24.3,74.3,59.8,85.4,"Cottingham Road, Hull, Yorkshire, HU6 7RX, United Kingdom",,,,,
401,Imam Mohammad Ibn Saud Islamic University,42107,10.5,3,39,49.0,43.4,23.4,65.8,21.5,69.8,"Airport Road, Riyadh, Riyadh Province, 13318, Saudi Arabia",,,,,
401,IMT Atlantique,1683,9.4,37,25,49.0,47.5,36.5,43.6,90.5,84.8,"La Chantrerie 4 rue Alfred Kastler, BP 20722, Nantes, Cedex 3, 44307, France",,,,,
401,Institut Agro,3117,10.8,13,60,49.0,43.8,32.6,60.2,59.6,60.3,"42 Rue Scheffer, Paris, Ile-de-France, 75116, France",,,,,
401,Iran University of Science and Technology,14679,32.7,1,35,49.0,33.6,37.4,75.2,73.9,24.3,"Narmak, Tehran, 1684613114, Iran",,,,,
401,University of Johannesburg,31721,26.5,13,55,49.0,28.6,36.3,66.8,44.8,81.0,"PO Box 524, Auckland Park, Johannesburg, Gauteng, 2006, South Africa",,,,,
401,Johannes Kepler University of Linz,6803,20.8,16,50,49.0,36.8,35.4,58.2,98.7,71.7,"Altenberger Strasse 69, Linz, Bundesland, 4040, Austria",,,,,
401,University of Jyväskylä,10702,13.8,3,62,49.0,31.4,34.1,78.2,53.0,49.7,"Seminaarinkatu 15, Jyvaskylan, Keski-Suomi, 40014, Finland",,,,,
401,Universiti Kebangsaan Malaysia,16764,10.1,18,57,49.0,45.7,27.8,58.7,47.4,74.9,"Bangi Selangor, Bangi, Selangor, 43600, Malaysia",,,,,
401,University of Kent,16515,18.0,27,53,49.0,27.6,29.0,77.6,51.9,93.5,"Canterbury, Kent, CT2 7NZ, United Kingdom",,,,,
401,University of Kentucky,27540,11.3,3,58,49.0,41.3,30.8,71.8,70.9,46.8,"410 Administration Dr, Lexington, Kentucky, 40506, United States",,,,,
401,King Saud University,50906,11.9,6,43,49.0,31.4,19.9,84.5,48.7,77.2,"P.O. Box 11362, Riyadh, Riyadh Province, Saudi Arabia",,,,,
401,University of Limerick,14640,27.1,15,50,49.0,27.1,32.6,64.1,75.9,76.1,,,,,,
401,Lincoln University,2562,14.5,33,52,49.0,33.9,26.7,68.4,49.7,92.0,"Ellesmere Junction Road, Lincoln, Canterbury, 7647, New Zealand",,,,,
401,University of Lisbon,49847,18.0,16,53,49.0,29.6,38.0,69.9,64.7,56.9,"Alameda da Universidade, Lisbon, Lisbon District, 1649, Portugal",,,,,
401,University of Marburg,24644,32.7,14,56,49.0,36.7,31.4,68.8,63.1,62.3,"Biegenstraße 10, Marburg, Hesse, D-35032, Germany",,,,,
401,Maynooth University,11885,28.5,12,56,49.0,21.1,30.7,77.0,58.3,74.8,,,,,,
401,Missouri University of Science and Technology,7271,21.6,9,24,49.0,33.2,28.7,69.6,88.1,72.4,"1870 Miner Circle, Rolla, Missouri, 65409, United States",,,,,
401,Mizzou - University of Missouri,25993,12.3,3,55,49.0,40.6,26.0,66.0,69.9,53.6,"Columbia, Missouri, 65211, United States",,,,,
401,University of Modena and Reggio Emilia,21836,27.0,5,54,49.0,32.0,24.6,79.6,80.3,40.2,"Via Università 4, Modena, 41121, Italy",,,,,
401,,4993,9.2,28,39,49.0,53.1,41.0,42.4,57.5,78.8,,,,,,
401,National Taiwan University of Science and Technology (Taiwan Tech),9221,18.5,19,30,49.0,33.2,36.9,63.8,93.2,56.4,"#No.43, Sec. 4, Keelung Road, Da'an District, Taipei City, 106335, Taiwan",,,,,
401,National Tsing Hua University,13979,16.2,12,42,49.0,38.9,42.3,58.4,99.5,46.2,"No. 101 Section 2, Kuang-Fu Road, Hsinchu, 30013, Taiwan",,,,,
401,National Yang Ming Chiao Tung University,16944,14.6,9,36,49.0,44.0,44.3,52.9,99.9,41.4,"No. 1001, Daxue Road, East District, Hsinchu City, 30010, Taiwan",,,,,
401,University of Nebraska-Lincoln,23920,16.6,9,49,49.0,33.8,31.1,71.5,67.0,65.9,"1400 R Street, Lincoln, Nebraska, 68588, United States",,,,,
401,University of Neuchâtel,4379,11.8,21,61,49.0,31.8,26.4,67.2,53.5,85.9,"Avenue du 1er-Mars 26, Neuchâtel, CH-2000, Switzerland",,,,,
401,New Jersey Institute of Technology,9981,14.5,24,27,49.0,27.4,23.5,69.2,69.8,93.6,"University Heights, Newark, New Jersey, 07102-1982, United States",,,,,
401,University of Oregon,21185,13.0,6,55,49.0,31.1,30.5,79.4,70.2,43.2,"1585 E. 13th Avenue, Eugene, Oregon, 97403, United States",,,,,
401,University of Passau,8536,58.2,13,60,49.0,31.5,36.5,66.5,62.2,58.2,"Innstrasse 41, Passau, Bavaria, D-94032, Germany",,,,,
401,University of Pisa,31567,20.9,5,52,49.0,31.1,31.2,80.5,68.7,43.2,"Lungarno Pacinotti 43, Pisa, 56126, Italy",,,,,
401,University of Plymouth,15675,17.1,16,59,49.0,24.4,21.9,79.5,66.1,80.6,"8 Portland Villas, Drake Circus, Devon, Plymouth, PL4 8AA, United Kingdom",,,,,
401,Polytechnic University of Turin,30497,31.9,15,30,49.0,29.7,30.2,73.5,85.8,53.2,"Corso Duca degli Abruzzi 24, Torino, 10129, Italy",,,,,
401,Pontificia Universidad Católica de Chile,30448,15.0,3,,49.0,29.7,34.3,67.6,84.7,57.9,"Avda. Libertador Bernardo, O'Higgins 340, Santiago, Chile",,,,,
401,University of Porto,36386,16.9,17,54,49.0,31.3,35.4,71.1,66.3,57.9,"Praca Gomes Teixeira, Porto, 4099-002, Portugal",,,,,
401,University of Portsmouth,23625,16.8,29,47,49.0,20.0,20.0,84.5,40.6,94.7,"University House, Winston Churchill Avenue, Portsmouth, Hampshire, PO1 2UP, United Kingdom",,,,,
401,Prince Sultan University (PSU),5982,17.4,11,56,49.0,18.4,20.5,87.0,37.8,85.8,"P.O.Box No. 66833, Rafha Street, Riyadh, Riyadh Province, 11586, Saudi Arabia",,,,,
401,Quaid-i-Azam University,11386,20.3,1,45,49.0,29.7,24.1,84.2,22.9,53.7,"Quaid-i-Azam University, Islamabad, 45320, Pakistan",,,,,
401,Université du Québec,51748,18.4,11,58,49.0,33.7,33.8,57.2,71.5,74.3,,,,,,
401,Rensselaer Polytechnic Institute,7496,15.3,20,31,49.0,34.1,30.3,60.9,89.9,78.7,"110 Eighth Street, Troy, New York, 12180, United States",,,,,
401,Royal Veterinary College,2275,10.3,32,80,49.0,30.0,20.7,75.6,61.1,95.1,"Royal College Street, Camden, London, NW1 0TU, United Kingdom",,,,,
401,Universiti Sains Malaysia,24850,12.1,28,63,49.0,42.9,27.8,60.0,53.7,71.9,"Level 1, Building E42, Chancellory II Universiti, Penang, 11800, Malaysia",,,,,
401,Saint Louis University,11041,7.3,6,61,49.0,41.1,16.3,80.9,60.6,42.0,"1 North Grand Blvd., St. Louis, Missouri, 63103, United States",,,,,
401,SOAS University of London,4845,14.9,45,65,49.0,42.5,36.1,60.2,15.6,80.4,"Thornhaugh Street, Russell Square, London, Camden, WC1H 0XG, United Kingdom",,,,,
401,University of South Carolina-Columbia,32770,16.9,5,56,49.0,35.9,24.6,75.1,63.4,59.2,"Columbia, Columbia, South Carolina, 29208, United States",,,,,
401,Stevens Institute of Technology,6393,18.6,30,29,49.0,26.9,25.3,74.6,62.4,80.8,"1 Castle Point on Hudson, Hoboken, New Jersey, 07030, United States",,,,,
401,University of Stirling,10650,18.7,28,64,49.0,23.0,26.2,82.4,41.0,91.4,"Stirling, Stirling, FK9 4LA, United Kingdom",,,,,
401,Syracuse University,19214,14.1,21,53,49.0,33.8,28.2,73.3,72.7,56.5,"900 South Crouse Ave, Syracuse, New York, 13244, United States",,,,,
401,Taipei Medical University,5993,8.9,10,59,49.0,47.4,32.6,60.9,85.1,48.5,"250 Wuxing Street, Taipei, 11031, Taiwan",,,,,
401,University of Tehran,54890,26.6,2,5,49.0,37.7,28.4,71.9,60.5,33.6,"16th Azar St., Enghelab Sq, Tehran, Iran",,,,,
401,Universiti Teknologi Malaysia,20863,12.7,26,45,49.0,44.1,29.3,65.0,55.0,71.5,"Skudai, Johor, 81310, Malaysia",,,,,
401,Tokyo Medical and Dental University (TMDU),2990,4.4,12,57,49.0,46.7,31.3,53.4,99.0,39.0,"1- 5 -45 Yushima, Bunkyoku, Tokyo, 113-8510, Japan",,,,,
401,University of Toulouse,111949,22.9,15,56,49.0,29.4,30.2,65.7,70.2,72.6,"41 Allees Jules Guesde, Toulouse, Occitanie, 31013, France",,,,,
401,TU Dortmund University,19477,56.0,15,49,49.0,35.7,42.2,62.3,72.0,57.3,"August-Schmidt-Straße 4, Dortmund, 44227, Germany",,,,,
401,Tulane University,12217,7.7,9,60,49.0,42.9,24.4,73.1,67.8,50.7,"6823 St Charles Ave, New Orleans, Louisiana, 70118-5645, United States",,,,,
401,University of Turin,63232,29.5,6,61,49.0,23.0,30.1,84.5,74.4,45.5,"Via Giuseppe Verdi 8, Turin, 10124, Italy",,,,,
401,Umeå University,18773,13.8,12,61,49.0,26.0,33.5,80.2,60.6,64.9,"Universitetsorget 4, Umea, Vasterbotten, SE-901 87, Sweden",,,,,
401,Universiti Utara Malaysia,12229,11.5,30,73,49.0,38.4,27.6,69.7,28.1,78.7,"UUM Sintok, Kedah Darul Aman, 06010, Malaysia",,,,,
401,University of Vaasa,3927,18.8,4,53,49.0,22.0,27.7,90.3,39.5,65.3,"Wolffintie 32, Vaasa, Ostrobothnia, 65200, Finland",,,,,
401,Verona University,20968,26.0,4,64,49.0,29.6,26.2,84.1,67.0,46.0,"Via dell'Artigliere 8, Verona, 37129, Italy",,,,,
401,Victoria University,14113,40.0,19,57,49.0,27.4,29.9,73.1,57.2,75.5,,,,,,
401,Victoria University of Wellington,18231,19.4,17,58,49.0,28.6,34.1,69.4,58.4,80.3,"PO Box 600, Wellington, 6140, New Zealand",,,,,
401,Virginia Commonwealth University,25944,10.6,3,63,49.0,36.4,23.2,82.8,72.7,36.5,"821 W Franklin Street, Richmond, Virginia, 23284, United States",,,,,
401,University of Waikato,10538,20.7,26,61,49.0,26.1,31.0,74.3,72.4,89.8,"Hillcrest Road, Hillcrest, Hamilton, Waikato, 3240, New Zealand",,,,,
401,Wake Forest University,8293,4.1,9,54,49.0,39.6,22.0,80.6,78.5,38.7,"1834 Wake Forest Road, Winston-Salem, North Carolina, 27109, United States",,,,,
401,Zayed University,9036,14.4,2,87,49.0,28.3,25.4,85.7,35.0,74.5,"Al Thuraya Street, Academic City, Dubai, United Arab Emirates",,,,,
501,Aberystwyth University,6180,15.6,23,51,45.3,26.3,23.0,68.5,62.4,87.3,"Reception, Penglais, Aberystwyth, Ceredigion, SY23 3FL, United Kingdom",,,,,
501,Åbo Akademi University,5637,18.2,13,60,45.3,29.5,31.6,59.3,67.1,68.1,"Tuomiokirkontori 3, FI-20500 Turku, Finland",,,,,
501,Ajou University,7714,14.9,17,41,45.3,35.6,37.7,52.8,92.3,48.0,"206 Worldcup-ro, Yeongtong-gu, Suwon, 443-749, South Korea",,,,,
501,University of Alaska Fairbanks,2829,7.9,6,55,45.3,34.5,31.0,63.1,47.5,70.1,"1731 South Chandalar Drive, Fairbanks, Alaska, 99775, United States",,,,,
501,Alfaisal University,3274,10.8,32,56,45.3,24.1,15.2,72.7,42.1,97.7,"Al Zahrawi Street, Along Al Takhassousi, Riyadh, Riyadh Province, 11533, Saudi Arabia",,,,,
501,American University of Beirut,8722,8.7,20,49,45.3,29.7,17.9,73.5,66.0,72.9,"Riad El Solh, PO Box 110236, Beirut, Beirut Governate, 1107 2020, Lebanon",,,,,
501,Anglia Ruskin University (ARU),17200,24.1,41,61,45.3,20.2,16.3,84.8,19.0,94.2,"East Road, Cambridge, Cambridgeshire, CB1 1PT, United Kingdom",,,,,
501,Anna University,12824,13.1,1,41,45.3,32.0,26.3,72.4,51.0,20.4,"Sarder Patel Road, Old Highways Building, Guindy, Chennai, 600025, India",,,,,
501,University of L’Aquila,18822,31.7,5,55,45.3,32.1,22.8,73.2,70.9,36.4,"Palazzo Camponeschi, 2 Piazza Santa Margherita, L'Aquila, Abruzzo, 67100, Italy",,,,,
501,Auburn University,27670,18.2,8,50,45.3,36.0,25.7,59.6,69.3,57.7,"182 South College Street, Auburn, Alabama, 36849, United States",,,,,
501,Babol Noshirvani University of Technology,5815,26.7,0,34,45.3,21.5,21.5,94.4,28.4,25.3,"Shariati Avenue, Babol, Mazandaran, 4714871167, Iran",,,,,
501,Bar-Ilan University,19599,19.0,4,61,45.3,30.0,34.1,54.1,85.8,46.8,"Bar-Ilan University, Ramat Gan, Tel Aviv District, 5290002, Israel",,,,,
501,Beirut Arab University,4834,10.4,21,45,45.3,48.5,24.6,47.3,18.6,88.2,"Riad El Solh, PO Box 11-5020, Beirut, Beirut Governorate, Lebanon",,,,,
501,Ben-Gurion University of the Negev,17265,21.3,2,52,45.3,34.1,30.6,59.0,71.6,34.5,"1 Ben Gurion Boulevard, PO Box 653, Beer Sheva, Negev, 8410501, Israel",,,,,
501,University of Bradford,8970,19.5,31,57,45.3,23.3,22.4,73.8,58.1,90.1,"Richmond Road, West Yorkshire, Bradford, BD7 1DP, United Kingdom",,,,,
501,Brighton and Sussex Medical School,25,0.3,26,60,45.3,26.6,22.0,74.4,37.8,93.1,"BSMS Teaching Building, Brighton, East Sussex, BN1 9PX, United Kingdom",,,,,
501,Ca’ Foscari University of Venice,15053,29.5,7,66,45.3,34.2,36.3,52.8,64.7,63.0,"Dorsoduro 3246 - 30123, 3246, Venezia, 30123, Italy",,,,,
501,University of Calabria,12784,16.1,5,62,45.3,34.9,19.5,69.6,47.4,43.2,"Via Pietro Bucci, Arcavacata di Rende, 87036, Italy",,,,,
501,University of Canterbury,16102,22.0,18,52,45.3,28.6,30.9,62.4,68.2,85.1,"20 Kirkwood Avenue, Ilam Road, UC Warehouse, Christchurch, Canterbury, 8041, New Zealand",,,,,
501,Carleton University,29656,29.4,21,50,45.3,22.6,31.2,67.0,75.5,77.2,,,,,,
501,Central Queensland University,12874,25.6,11,65,45.3,19.7,26.7,76.0,39.5,65.3,,,,,,
501,"China University of Petroleum, Beijing",18061,18.6,7,,45.3,31.6,37.5,56.6,81.8,30.1,"18 Fuxue Road, Changping, Beijing, 102249, China",,,,,
501,Complutense University of Madrid,59814,11.8,10,62,45.3,40.3,29.4,58.8,52.1,46.7,"Avda. de Séneca, 2, Ciudad Universitaria, Madrid, 28040, Spain",,,,,
501,Concordia University,36749,34.6,34,50,45.3,25.7,29.3,66.2,66.3,86.6,,,,,,
501,University of Côte d’Azur,33024,20.5,20,56,45.3,28.4,22.0,65.6,62.4,80.6,"Grand Chateau, 28 Avenue Valrose BP 2135, Nice, Alpes-Cote d'Azur Region, 06103, France",,,,,
501,University of Crete,14119,26.5,4,63,45.3,19.9,25.7,76.5,64.5,47.4,"University of Crete, Rethymnon, Crete, 74100, Greece",,,,,
501,University of Cyprus,6907,20.0,14,61,45.3,22.5,25.8,75.3,64.3,77.7,"1 Panepistimiou Avenue, Aglantzia, Nicosia, Cyprus",,,,,
501,University of Denver,10367,13.6,5,60,45.3,39.9,24.3,64.2,55.8,31.2,"2199 South University Blvd, Denver, Colorado, 80208, United States",,,,,
501,Donghua University,23099,14.7,6,44,45.3,27.8,22.1,72.8,85.3,39.9,"2999 North Renmin Road, Shanghai, 201620, China",,,,,
501,University of Eastern Finland,12237,18.5,5,67,45.3,28.9,31.2,69.7,67.4,48.5,"Microkatu 1, Kuopio, Eastern Finland Region, 70210, Finland",,,,,
501,Edinburgh Napier University,12415,22.4,34,52,45.3,18.1,18.4,77.9,47.7,93.7,"Sighthill Court, Edinburgh, Midlothian, EH11 4BN, United Kingdom",,,,,
501,ENSTA Bretagne,652,8.6,18,26,45.3,39.4,28.6,48.1,75.5,68.9,"2 rue François Verny, Brest, Brittany, 29806, France",,,,,
501,University of Ferrara,23010,34.8,5,62,45.3,29.6,24.9,74.3,66.9,44.7,"via Ludovico Ariosto, 35, Ferrara, 44121, Italy",,,,,
501,University of Granada,55523,14.7,9,59,45.3,28.5,26.6,65.7,52.2,52.6,"Calle Real de Cartuja, 36-38, Granada, 18071, Spain",,,,,
501,University of Graz,12830,12.6,17,66,45.3,29.2,21.8,66.9,51.2,81.3,"Universitatsplatz 3, Graz, Styria Province, 8010, Austria",,,,,
501,Graz University of Technology,6660,8.2,24,26,45.3,40.4,21.4,51.5,91.5,81.5,"Rechbauerstraße 12, 8010 Graz, Austria",,,,,
501,University of Greenwich,17095,21.8,46,58,45.3,17.8,17.5,81.2,40.9,97.2,"Park Row, Greenwich, London, SE10 9LS, United Kingdom",,,,,
501,Hamburg University of Technology,4246,26.4,23,29,45.3,37.6,24.5,53.0,79.5,61.4,"At Schwarzenberg Campus 1, Hamburg, 21073, Germany",,,,,
501,University of Houston,47963,26.3,7,52,45.3,33.8,29.7,65.8,70.2,50.8,"4800 Calhoun Road, Houston, Texas, 77004-2693, United States",,,,,
501,University of Huddersfield,14270,19.8,26,58,45.3,28.3,25.0,66.3,44.4,88.4,"Queensgate, Huddersfield, West Yorkshire, HD1 3DH, United Kingdom",,,,,
501,University of Iceland,9899,17.0,12,68,45.3,23.4,34.0,70.6,75.6,55.8,"Samundargotu 2, Reykjavík, 102, Iceland",,,,,
501,Istanbul Technical University,19055,25.8,14,42,45.3,35.8,36.6,51.8,87.3,45.8,"ITÜ Ayazaga Kampüsü 34469, Maslak, Istanbul, Turkey",,,,,
501,Jamia Millia Islamia,10235,11.2,4,52,45.3,41.1,14.4,75.7,37.5,39.7,"Jamia Nagar, New Delhi, 110025, India",,,,,
