rank,name,number_students,student_staff_ratio,intl_students,female_male_ratio,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,address,street_address,locality_address,region_address,postcode_address,country_address
40,Paris Sciences et Lettres – PSL Research University Paris,16120,15.0,22,51,78.5,75.7,72.8,83.2,99.7,81.6,"60 rue Mazarine, Paris, Île-de-France region, 75006, France",,,,,
41,University of British Columbia,58987,19.4,34,55,78.0,62.5,76.6,90.5,76.7,95.0,,,,,,
42,University of Illinois at Urbana-Champaign,50250,19.6,23,51,77.9,69.5,81.5,85.2,85.3,64.0,"901 West Illinois Street, Urbana, Illinois, 61801, United States",,,,,
43,Shanghai Jiao Tong University,38472,12.6,9,37,77.7,76.6,82.5,75.4,100.0,60.6,"800 Dongchuan Road, Minhang District, Shanghai, China",,,,,
44,Fudan University,38101,12.6,9,52,77.5,76.5,75.3,83.5,96.0,56.1,"220 Handan Road, Shanghai, 200433, China",,,,,
45,KU Leuven,49435,37.3,19,52,77.0,60.1,74.9,91.9,100.0,79.6,"Oude Markt 13, Leuven, Flemish Region, 3000, Belgium",,,,,
46,London School of Economics and Political Science,11945,12.6,72,56,76.8,59.5,73.5,95.4,55.9,94.1,"Houghton Street, London, Westminster, WC2A 2AE, United Kingdom",,,,,
47,Universität Heidelberg,19315,13.3,20,55,76.7,67.7,64.3,94.6,99.3,76.4,"Grabengasse 1, Heidelberg, Baden Wurttemberg, 69117, Germany",,,,,
48,Delft University of Technology,21262,15.9,30,31,76.3,66.7,78.2,76.5,100.0,92.8,"Postbus 5, Delft, South Holland, 2628 CD, Netherlands",,,,,
49,McGill University,30821,11.9,29,61,76.0,62.3,72.3,88.8,76.1,92.5,,,,,,
50,Karolinska Institute,8085,9.9,27,70,75.9,58.9,67.9,95.3,96.0,85.7,"Stockholm, SE-171 77, Sweden",,,,,
51,University of Manchester,40725,15.6,45,56,75.6,61.4,67.1,93.1,73.1,95.6,"Oxford Road, Manchester, Greater Manchester, M13 9PL, United Kingdom",,,,,
52,University of Texas at Austin,48558,16.4,8,55,75.5,66.0,75.7,91.0,81.4,47.3,"110 Inner Campus Drive, Austin, Texas, 78705, United States",,,,,
53,The Chinese University of Hong Kong,18290,18.8,25,,75.4,59.1,61.5,97.6,95.9,93.6,"Shatin, New Territories, Hong Kong",,,,,
